Rank,Country,2024,2023,2022,2021,2020,2019,2018,Population
1,Chad,91.8,0,89.7,75.9,0,0,0,17179740
2,Bangladesh,78,79.9,65.8,76.9,77.1,83.3,97.1,169356251
3,Pakistan,73.7,73.7,70.9,66.8,59,65.8,74.3,231402117
4,Democratic Republic of the Congo,58.2,40.8,15.5,0,0,32.1,0,95894118
5,India,50.6,54.4,53.3,58.1,51.9,58.1,72.5,1407563842
6,Tajikistan,46.3,49,46,59.4,30.9,0,0,9750064
7,Nepal,42.8,42.4,40.1,46,39.2,44.5,54.1,30034989
8,Uganda,41,27.3,39.6,27.6,26.1,29.1,40.8,45853778
9,Rwanda,40.8,36.8,44,0,0,0,0,13461888
10,Burundi,40.3,0,0,0,0,0,0,14047800
11,Nigeria,40.1,23.9,36.9,34,0,21.4,44.8,213401323
12,Egypt,39.8,42.4,46.5,29.1,0,18,0,109262178
13,Iraq,38.4,43.8,80.1,49.7,0,39.6,0,43533592
14,Ghana,35.8,33.2,30.2,25.9,26.9,30.3,0,32833031
15,Indonesia,35.5,37.1,30.4,34.3,40.7,51.7,42,273753191
16,Gambia,35.2,28.5,0,0,0,0,0,2639916
17,United Arab Emirates,33.7,43,45.9,36,29.2,38.9,49.9,9365145
18,Bahrain,31.8,39.2,66.6,49.8,39.7,46.8,59.8,1463265
19,Uzbekistan,31.4,28.6,33.5,42.8,29.9,41.2,34.3,34915100
20,Qatar,31.3,37.6,42.5,38.2,44.3,0,0,2688235
21,China,31,32.5,30.6,32.6,34.7,39.1,41.2,1412360000
22,Kuwait,30.2,39.9,55.8,29.7,34,38.3,56,4250114
23,Vietnam,28.7,29.6,27.2,24.7,28,34.1,32.9,97468029
24,Cameroon,27.6,24,0,0,0,0,0,27198628
25,Laos,27.5,29.6,27.6,21.5,22.4,23.1,0,7275556
26,Turkmenistan,26.5,0,21.6,20.4,17,0,0,6341855
27,Togo,26,16.3,0,0,0,0,0,8644829
28,Mongolia,25.6,22.5,29.5,33.1,46.6,62,58.5,3347782
29,Bosnia Herzegovina,25.3,27.5,33.6,27.8,40.6,34.6,40,3270943
30,Myanmar,25.2,28.2,24.3,25.9,29.4,31,0,53798084
31,Saudi Arabia,25.1,26.5,41.5,32.7,23.3,22.1,0,35950396
32,Zimbabwe,24.8,33.3,0,0,0,0,0,15993524
33,Ivory Coast,24.6,16.6,22.5,0,21.9,0,0,29389150
34,Armenia,24.4,26.4,31.4,33.9,24.9,25.5,0,2790974
35,North Macedonia,23.3,25.2,25.6,25.4,30.6,32.4,35.5,2065092
36,Libya,22.3,30.4,0,0,0,0,0,6735277
37,Senegal,22.3,28.2,20.4,0,11.2,0,0,16876720
38,Ethiopia,22.2,27,31.3,23.9,14.7,20.1,27.1,120283026
