City,State,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Average AQI(2024),Latitude,Longitude
Byrnihat,Meghalaya,174.4,183.7,153.3,140,105.7,88.4,90,86,68.6,87.4,146,193.7,126.4333333,26.0543348,91.8696498
Delhi,Delhi,219.3,110.3,76.8,64.6,84.4,52.6,39.6,26.6,42.8,120.1,276.5,185.9,108.2916667,28.6517178,77.2219388
Mullanpur,Punjab,123.3,111.2,79.6,47.2,67,53.1,72.3,42.5,62.2,142.7,302.5,146,104.1333333,30.7191606,76.3660295
Faridabad,Haryana,211.3,116,107.4,130.9,188.9,100.3,54.2,29.7,36.8,57.8,119.8,74.3,102.2833333,28.4031478,77.3105561
Loni,Uttar Pradesh,135.7,81.2,60.1,56.9,68.7,63.4,54.7,32.9,58.5,134.5,235.7,120.1,91.86666667,28.7317295,77.2900919
New Delhi,Delhi,190.4,91,66.4,52.8,75.4,49.9,34.6,24.5,37.8,99.6,224,152.1,91.54166667,28.6430858,77.2192671
Gurugram,Haryana,138.8,104.8,86.2,96.6,86.2,65.6,49.6,39.4,43.2,79.9,146.2,113.8,87.525,28.4808629,77.0848883
Ganganagar,Rajasthan,159.4,104.8,64.6,65.7,102.1,78.6,53.9,55.8,69.9,52.5,127.3,93.6,85.68333333,29.9049489,73.8792934
Greater Noida,Uttar Pradesh,168.9,108.5,72.8,68.6,92.1,59.2,37.6,26,42,87.5,135.7,105.1,83.66666667,28.4670734,77.5137649
Bhiwadi,Rajasthan,128.2,91.7,74.4,78.7,103.4,77.7,49.7,33.8,40.2,88.3,142.2,85.7,82.83333333,28.2039413,76.837441
Muzaffarnagar,Uttar Pradesh,134.5,114.7,82.7,74.2,99.9,66.3,51.5,36.7,47.3,100.9,113.7,71,82.78333333,29.4496978,77.7429333
Hanumangarh,Rajasthan,165,119.3,80.6,50.4,70.3,57.6,25.3,15.9,45,73.3,125.6,84.5,76.06666667,29.3659533,74.298429
Noida,Uttar Pradesh,173.3,94.5,59.9,52.2,72.5,45.1,31.1,25.6,39.7,92.9,147.2,119.7,79.475,28.5706333,77.3272147
Ballabgarh,Haryana,124.7,94.5,83.8,88.4,93.6,81.1,41.2,30.8,35,76.1,116.3,70.5,78,28.2940728,77.3592238
Mandi Gobindgarh,Punjab,87.6,77.5,77.2,82.5,94.6,99.4,58.5,49.4,60.2,76.6,105.2,71.8,78.375,30.6693384,76.2974678
Bahadurgarh,Haryana,117.7,73,66.2,47.2,84.3,70.5,34.7,22.3,30.7,82.8,162.9,145.8,78.175,28.6609648,76.8346765
Faridabad,Haryana,126,76.7,73.8,75.6,98.9,76.7,52.6,37.1,35.1,63,111.4,90.5,76.45,28.4031478,77.3105561
Bhagalpur,Bihar,206,110.9,74.6,66.1,59,62.5,35.8,37,31.4,51.9,91.5,86.2,76.075,25.2861354,87.1304229
Araria,Bihar,152.6,131.1,49.8,54.1,34.5,23.3,31.7,53.7,49.9,50.4,92.7,89.4,67.76666667,26.2651013,87.3699437
Ghaziabad,Uttar Pradesh,152,74.4,50.5,50.1,62,39,34.6,26.7,44,100.3,153.1,107,74.475,28.7749966,77.4586967
Charkhi Dadri,Haryana,78.2,66.3,63.7,77,81.3,90.8,51.1,27.2,43.8,84.8,134.9,94.6,74.475,28.5919933,76.2719817
Patna,Bihar,130.7,84.5,70.7,91.3,72.3,57.2,30.5,29.4,33.5,67.3,106.9,110.9,73.76666667,25.6093239,85.1235252
Rohtak,Haryana,104.8,53.7,53.9,69.6,83.6,115.8,52.2,27,39.6,64.2,121.5,94.2,73.34166667,28.9010899,76.5801935
Durgapur,West Bengal,94,67.7,61.6,93.4,57.6,59.3,37.3,39.5,35.8,71.9,121.6,128.9,72.38333333,23.5350475,87.3380425
Asansol,West Bengal,104.7,84.1,69.2,92.3,69.2,55.4,28.8,32.8,34.5,64.9,110.5,121.4,72.31666667,23.6871297,86.9746587
Hajipur,Bihar,81.1,60.5,43.9,56.1,57.3,66.3,38.4,34.7,44.4,79.8,163.5,137.7,71.975,25.6905702,85.2090351
Singrauli,Madhya Pradesh,96.1,71,59.8,71.2,75.3,48.7,35.1,31.3,42,83,120.1,108.8,70.2,24.2431343,82.3827672
Chhapra,Bihar,153.6,107.6,81.4,89.6,56.4,34.6,16.7,36.6,41.4,38.7,87.7,76.8,68.425,25.7784105,84.7514507
Chandigarh,Chandigarh,160.1,83.3,57.4,44.5,62.5,48.3,31.6,18.7,30.3,69.6,130.9,100.1,69.775,30.7334421,76.7797143
Dharuhera,Haryana,79.7,67.5,63.6,60.1,84.9,66.5,47,35.4,34.5,75.1,134.5,71.2,68.33333333,28.2055216,76.7953099
Saharsa,Bihar,188.1,97.3,54.2,50.9,47.2,30.1,14.7,24.8,18.3,27,110.9,99.6,63.59166667,25.8330757,86.6143751
Angul,Odisha,146.7,100.6,79.3,82.3,50.4,41.5,28.9,22.7,27.9,43.2,82.9,96,66.86666667,21.102538,84.9536825
Muzaffarpur,Bihar,117.4,87.8,69.3,94.3,58.5,45.6,28.3,22.9,26.4,54.7,106.7,93.8,67.14166667,26.1482548,85.3316097
Baddi,Himachal Pradesh,162.5,88.5,56.8,32.7,57.9,51.9,45.2,30.5,40.9,71.7,98.3,74.9,67.65,30.9763026,76.7674001
Hapur,Uttar Pradesh,101.1,132.7,52.5,42.2,51.3,31,27.8,20.7,35.2,98.4,151,54.6,66.54166667,28.7166767,77.890433
Bhiwani,Haryana,80.4,60.9,65.3,69.8,78.5,54.7,25.2,29,42.9,77.8,140.4,69.2,66.175,28.7931703,76.1391283
Munger,Bihar,88.5,70.4,79.5,70.1,55.6,76.4,75,20.2,19.8,50.7,87.8,83.2,64.76666667,25.2202864,86.5161484
Talcher,Odisha,127.1,84.9,63.9,87.6,44.2,36.3,23.1,27.6,31.4,51.6,97.1,92.3,63.925,20.9322302,85.2005822
Manesar,Haryana,102.7,74.4,52.8,55.1,69.8,55.7,32.7,31.4,47.2,74.2,109.5,79.6,65.425,28.3247096,76.9263787
Agartala,Tripura,127.6,104.8,80.7,63.3,45.7,32.5,21.1,22.5,25.6,43.9,68.3,110,62.16666667,23.8312377,91.2823821
Panipat,Haryana,71.2,56.4,65.3,48,63.8,69.6,44,44.6,46,70.5,106.8,78.5,63.725,29.3912753,76.9771675
Dholpur,Rajasthan,134.2,98.5,79.8,43.7,47.8,55.6,68.8,25,32.4,38.1,64.8,67.1,62.98333333,26.7010642,77.896749
Nalbari,Assam,150.4,116.5,81.2,53.8,32.5,29.8,21.8,31.1,39.6,33.9,37.9,92.3,60.06666667,26.3533631,91.3983662
Hisar,Haryana,79.1,65.7,47.8,43.9,68.7,56.8,29.3,21.2,35.4,76.3,123.9,92.4,61.70833333,29.2396596,75.8174505
Siwan,Bihar,80,70.1,70.9,31.9,66.5,49.9,37.3,58.3,64,37.6,79.6,70.6,59.725,26.131008,84.3910745
Buxar,Bihar,--,115.9,61.6,48.3,99.1,80.8,29.3,22,17.2,50.5,101.6,64.8,62.82727273,25.5044834,84.1097525
Ludhiana,Punjab,83.3,53.4,44.6,47,63.8,73.2,43.5,37.4,44.4,63.9,108.5,67.8,60.9,30.9090157,75.851601
Pali,Rajasthan,92.1,46.2,64.8,59.5,62,50.5,39.6,27.1,35.9,54.2,72.2,102.4,58.875,25.455221,73.419389
Bulandshahr,Uttar Pradesh,106.7,70.4,46.7,47.4,57.3,41.7,25,17.3,27.6,75.5,120.5,81.3,59.78333333,28.3874073,77.9743805
Purnia,Bihar,109.8,81.8,45.3,34.8,35.5,30.3,39.5,22.1,36.9,63.1,83.2,88.1,55.86666667,25.7758723,87.4087667
Panchkula,Haryana,85.8,41.6,33.9,45.3,88.2,84.5,41.2,24.2,38.5,64.8,92.8,63.8,58.71666667,30.6975401,76.8551066
Mandideep,Madhya Pradesh,62.1,80.3,69.5,45.8,57.3,41.9,19.4,18.5,29.7,68.6,126,98.8,59.825,23.093838,77.5114296
Meerut,Uttar Pradesh,102.9,56.6,40.2,36.6,55.8,33.4,26.5,18.3,33.3,89.1,132.6,77.3,58.55,29.0018557,77.7679671
Barrackpore,West Bengal,107.3,83.1,55.9,58.7,27.3,31,23.9,37,34.7,45.1,97.1,116.4,59.79166667,22.7641623,88.3776088
Bhiwadi,Rajasthan,--,62.7,39.8,47.8,77.9,44.1,34.5,22.8,38.2,68.6,129.1,74.9,58.21818182,28.2039413,76.837441
Sonipat,Haryana,104.1,63.7,30.3,27.9,50.9,61.2,24.1,16.9,20.5,76.3,141.9,73.2,57.58333333,28.9953758,77.0233627
Rajgir,Bihar,151.8,67.6,49.5,29.3,38.3,54.5,15.2,11.8,31,53.2,86.4,70.1,54.89166667,25.0299973,85.4207368
Amritsar,Punjab,72.2,56.7,36.8,46.6,62.5,67.8,41.7,34.9,34.4,58.5,109.9,62.9,57.075,31.6356659,74.8787496
Howrah,West Bengal,106.2,71.1,50.8,51,27.8,28.6,21.1,26.4,29.2,45.7,108.1,120.7,57.225,22.5736296,88.3251045
Kurukshetra,Haryana,87.2,56.7,36.7,46.5,70.5,63.7,28.2,19.9,28.9,82.2,102.5,60.5,56.95833333,29.9693747,76.8482787
Yamuna Nagar,Haryana,72.3,68,46.1,47.5,61.1,56.9,30,22.6,27.8,77.8,96.4,68.5,56.25,30.1389108,77.301064
Samastipur,Bihar,92.6,86.3,51,64.6,51.8,24,42.1,59.2,20.9,28.9,92.1,62.9,56.36666667,25.7747884,85.8672314
Bikaner,Rajasthan,131.1,62.1,37.5,29.3,47.2,56.3,26.4,18.6,24.4,47.3,113.3,74.6,55.675,28.0159286,73.3171367
Lucknow,Uttar Pradesh,83.3,52.3,51.4,55.3,61.9,51.5,24.1,22.8,26.1,55,104.1,79.5,55.60833333,26.8381,80.9346001
Jhunjhunun,Rajasthan,98.2,69.3,42.8,30.9,46.2,52,20.8,13.8,22.5,54.2,118.1,94.7,55.29166667,28.1070891,75.3900287
Aurangabad,Maharashtra,76.8,78.4,41.7,36.1,37,39.4,46.7,39,18.5,32,74.6,97.5,51.475,19.877263,75.3390241
Tonk,Rajasthan,95.8,75.6,54.2,32.9,33.9,27.8,15.3,11.4,23.8,55,100.4,92.4,51.54166667,26.122266,75.8238631
Jind,Haryana,74.8,53.8,34.5,33.8,54.1,43.9,20.8,15.1,29.6,77.3,137.5,77.4,54.38333333,29.3152073,76.314082
Jaipur,Rajasthan,103,58.4,38.8,38.8,50.7,41,26.6,21.8,28.9,61.4,94.2,81.1,53.725,26.9154576,75.8189817
Gwalior,Madhya Pradesh,102,68.5,52.2,37.4,45.4,30,17.4,18.1,25,53.3,107.1,86.8,53.6,26.2037247,78.1573628
Kota,Rajasthan,119.4,68.4,48.4,37.4,40.3,29.8,24,20.1,21.3,49.9,90.9,92.7,53.55,25.1737019,75.8574194
Chittorgarh,Rajasthan,87.7,50.7,41.4,37,48.6,46.5,40.2,33.8,50,44.3,80.7,78,53.24166667,24.7171578,74.4718129
Kaithal,Haryana,80.2,55,39.2,34.1,54.6,40.4,32.4,19.4,29,82,109.8,66.8,53.575,29.7996588,76.3989903
Guwahati,Assam,126.7,93.3,81,60.5,34.9,22.8,15.4,25.7,26.5,30,43,79.7,53.29166667,26.1805978,91.753943
Gummidipoondi,Tamil Nadu,89.9,62.7,50.8,36.4,26.5,36.1,47.6,37.9,48,59.4,81.6,63,53.325,13.4308848,80.0821379
Bada Barabil,Odisha,96,63.6,64.4,66.5,49.4,38.6,19.8,18.4,17.9,46.2,76.6,72.8,52.51666667,22.1118877,85.3868485
Udaipur,Rajasthan,70.6,67,60,52.2,49.9,43,31.2,25.2,31.6,51.3,65.4,83.8,52.6,24.578721,73.6862571
Churu,Rajasthan,95.8,57.3,36.2,25.9,39,37.8,19.1,20.3,28.9,44.4,119.2,97.6,51.79166667,28.2047781,74.6912996
Khurja,Uttar Pradesh,55.2,36.7,47.1,46.4,54.4,43.2,33.7,26,33,78.5,99.3,72.4,52.15833333,28.2062807,77.8764368
Parbhani,Maharashtra,52.5,48.8,81.4,54.9,40.6,26.6,16.9,19.6,25.6,48.1,98.5,66.3,48.31666667,19.2901981,76.6026443
Bettiah,Bihar,41.6,37.3,69.9,76.7,60.6,30.4,14.1,18.5,22.9,64.3,79.1,55.4,47.56666667,26.8023,84.5074
Jalna,Maharashtra,65.8,57.5,79.5,31.3,29.9,28.2,37.8,47.8,65.9,53.3,78.7,47.8,51.95833333,19.918833,75.8708599
Sikar,Rajasthan,109.5,61.4,35.4,30.4,38.4,34.1,19.4,19.5,22.1,52.9,105.4,90.4,51.575,27.6625058,75.0279905
Katihar,Bihar,99.6,69,49.4,30.5,23.8,24.9,12.8,25.3,28.7,51.5,85,91.5,49.33333333,25.5586421,87.6457196
Gorakhpur,Uttar Pradesh,68.3,54.5,59.8,53.1,60.5,48.2,25,29.7,30.5,69.4,67,49.9,51.325,26.6677977,83.3642334
Arrah,Bihar,148.4,68.4,44,37.9,33,25.2,21.1,22.4,18,25.1,48.9,72.5,47.075,25.560317,84.6632139
Balasore,Odisha,148.6,81.7,44.9,46.4,15.7,18.6,27.1,22.5,15.2,30.6,74.2,85.8,50.94166667,21.5006421,86.919884
Ulhasnagar,Maharashtra,84.2,68.5,63.6,59.6,39.8,29,22.5,24.5,30.8,49.1,82.7,66.9,51.76666667,19.2236329,73.1671515
Malegaon,Maharashtra,58.6,65.2,68,62.1,58.3,30.9,22,21.6,24.6,52.6,95.5,59.5,51.575,20.5576062,74.5246514
Rourkela,Odisha,74.6,65.4,58.4,65.4,49.1,50.8,23.3,23.7,22.8,39.5,71.6,72.7,51.44166667,22.2309255,84.8678705
Ahmedabad,Gujarat,64.8,58.2,60.5,56.5,56.4,40.6,30.3,24,32.1,56.8,69.5,61.9,50.96666667,23.0215374,72.5800568
Barbil,Odisha,90,67.4,57.7,75.3,43,32.6,14.3,24.3,30.9,39.3,67.5,70.1,51.03333333,22.1048613,85.3690447
Baripada,Odisha,111.8,94.2,65.7,81.4,28.2,31,18,21.7,16.3,31.5,54,67.8,51.8,21.9342456,86.7308825
Karauli,Rajasthan,126,97.3,31.8,34.8,29.9,46.6,21.9,10.1,22.4,46.5,80.6,37.3,48.76666667,26.4530971,77.0160461
Bharatpur,Rajasthan,92.4,29.4,49.6,82.5,73.7,48.2,15.3,7.4,15.3,50.9,84,57.4,50.50833333,27.0246959,77.2920116
Badlapur,Maharashtra,81.2,63.5,65,63.1,36.7,31.2,18.9,21.1,28.1,46.9,84.2,60.8,50.05833333,19.1666237,73.2389064
Khanna,Punjab,56.7,42.8,37.7,40.3,60.7,51.8,32.1,36.7,39.2,62.2,84.6,52.5,49.775,30.700625,76.2220763
Boisar,Maharashtra,85.1,71.2,53.2,49,39.1,37.9,27.6,23.5,29.3,48.7,77.9,73.9,51.36666667,19.7984865,72.761452
Jalgaon,Maharashtra,54.6,62,67.3,56.8,50.6,26.3,14.9,16.9,24.5,56,100.6,53.6,48.675,20.8428826,75.5261246
Motihari,Bihar,86.4,68,38.6,38.6,37.3,33,30.5,22.2,24.2,29,73.1,82.5,46.95,26.6506888,84.9114654
Jalandhar,Punjab,72.1,48.3,39.2,30.8,54.5,52.6,32.7,27.9,26.2,53.1,94.3,52.9,48.71666667,31.2922311,75.5678878
Fatehabad,Haryana,77.8,59,38.3,27.8,61.4,44,17.2,17.1,30,75.6,103.7,52.8,50.39166667,29.5359209,75.5752901
Vapi,Gujarat,103,99.8,47.1,34.6,24.1,13.2,13.4,17.8,17.7,39.5,69.6,88.7,47.375,20.3735482,72.9084376
